Unnamed: 0,author,comment,published_at,cleaned_comment,sentiment,emotion,hate_speech,irony
0,@MrBeast,What survival challenge should I try next?,2024-08-17T15:59:30Z,survival challenge try next,NEU,others,[],not ironic
1,@Datback2003,I love you all have a great day,2024-09-26T17:37:35Z,love great day,POS,joy,[],ironic
2,@MilkyGaming-k8b,You’re crazy,2024-09-26T17:32:25Z,youre crazy,NEG,others,"['hateful', 'targeted']",not ironic
3,@Coolr2d2,Hi,2024-09-26T16:51:20Z,hi,NEU,others,[],not ironic
4,@SharukhKhan-l1d,Love you ❤❤,2024-09-26T15:55:18Z,love,POS,others,[],ironic
5,@AnaLaginha,Mrbeast come Portugal,2024-09-26T15:49:53Z,mrbeast come portugal,NEU,others,[],not ironic
8,@George-j7r5o,Insane 😅,2024-09-26T14:43:44Z,insane,NEU,others,[],not ironic
10,@Dema-z4f,I love you MrBeast,2024-09-26T14:20:31Z,love mrbeast,POS,joy,[],ironic
13,@jagirtolamalda.9094,Woo❤❤❤❤,2024-09-26T13:00:41Z,woo,POS,joy,[],ironic
14,@CarloBoyer,"Nice
❤",2024-09-26T12:44:27Z,nice,POS,others,[],ironic
15,@maulivlogs2112,Sir I am an Indian I want help sir,2024-09-26T11:41:49Z,sir indian want help sir,NEU,others,[],not ironic
16,@SQUAD357,Nice video sir ❤❤,2024-09-26T11:35:55Z,nice video sir,POS,others,[],ironic
17,@nandashedge6119,3:23 very good,2024-09-26T11:01:57Z,good,POS,others,[],ironic
19,@elcuriosoatv,"Es Una verdadera aventura, con mucha adrenalina  🎉",2024-09-26T10:16:04Z,e una verdadera aventura con mucha adrenalina,NEU,others,[],not ironic
20,@SanjidaAkter-h7n,I am from Bangladesh my name is kamal,2024-09-26T10:12:16Z,bangladesh name kamal,NEU,others,[],not ironic
21,@paolaandreaarteaga3233,Hola visitame ❤,2024-09-26T09:58:38Z,hola visitame,NEU,others,[],not ironic
22,@АйшаДуйсебек-ю5л,"Ms Beast, this is challenge cool😯😯😺👍🏻👍🏻👍🏻",2024-09-26T09:43:41Z,m beast challenge cool,POS,others,[],ironic
23,@VaishAnsari-tr7rl,Help me my bro plz😢😢😢,2024-09-26T09:31:00Z,help bro plz,NEU,others,[],not ironic
24,@sanjeevshukla4512,Are your toys available in india 🇮🇳 And if available than where should i find them,2024-09-26T09:18:43Z,toy available india available find,NEU,others,[],not ironic
25,@All-Rounder13887,Mrbeast is best,2024-09-26T08:04:04Z,mrbeast best,POS,others,[],ironic
26,@sarawilliams8817,What would’ve top it off if you guys song the “campfire song song” 🤣🤣🤣,2024-09-26T07:55:37Z,wouldve top guy song campfire song song,NEU,others,[],not ironic
27,@Mr.Gurujee,Give me a chance to become a millionaire.,2024-09-26T07:33:41Z,give chance become millionaire,POS,others,[],not ironic
29,@Players-b7e,Cabscibe for a cookie 🍪,2024-09-26T06:38:36Z,cabscibe cookie,NEU,others,[],not ironic
30,@Shorteditzs,We miss chandler,2024-09-26T06:26:39Z,miss chandler,NEU,others,[],not ironic
31,@Vishusaiini,Hatts off camera man ✨,2024-09-26T05:47:04Z,hatts camera man,NEU,others,[],not ironic
32,@rajaramanlakshman7680,7:50 Bro is stuck,2024-09-26T05:07:22Z,bro stuck,NEG,others,[],not ironic
33,@EngAshrafulIslamNabin,Nice,2024-09-26T04:36:06Z,nice,POS,others,[],ironic
36,@DranderReal,4:35 cueva 🗣️,2024-09-26T01:51:13Z,cueva,NEU,others,[],not ironic
37,@GiveBackLegend,"What a good video!
Have a nice day everyone😊",2024-09-26T00:59:23Z,good video nice day everyone,POS,joy,[],not ironic
39,@ServicioTec-ff7jd,Literal mente estoy haciendo un dibujo de mrbeart XD,2024-09-26T00:54:21Z,literal mente estoy haciendo un dibujo de mrbeart xd,NEU,others,[],not ironic
40,@SnowballlVRYT,Jimmy’s camera man never dies,2024-09-26T00:39:18Z,jimmy camera man never dy,NEU,others,[],not ironic
